year,month,full_name,first_name,last_name,gender,birth_date,age,country_citizenship,country_citizenship_iso3,country_residence,country_residence_iso3,city_of_residence,net_worth_usd,wealth_status,self_made,business_category,business_industries,organization_name,position_in_organization,rank
2021,4,Achal Bakeri,Achal,Bakeri,male,1960-01-09,61,India,IND,India,IND,Ahmedabad,1300000000,Increased,TRUE,Manufacturing,['Manufacturing'],NA,NA,2263
2024,4,Acharya Balkrishna,Acharya,Balkrishna,male,1972-07-25,51,India,IND,India,IND,Haridwar,3800000000,Increased,TRUE,Food & Beverage,['Food & Beverage'],NA,NA,835
2016,3,Achmad Hamami & family,Achmad,Hamami,male,1930-07-29,85,Indonesia,IDN,Indonesia,IDN,Jakarta,1000000000,Decreased,TRUE,Construction & Engineering,['Construction & Engineering'],NA,NA,1694
2019,3,Adam Bowen,Adam,Bowen,male,1975-09-18,43,United States,USA,United States,USA,San Mateo,1100000000,NA,TRUE,Manufacturing,['Manufacturing'],Juul Labs,Chief Technology Officer,1941
2024,4,Adam Foroughi,Adam,Foroughi,male,1980-05-07,43,United States,USA,United States,USA,Truckee,2200000000,Returned to List,TRUE,Media & Entertainment,['Media & Entertainment'],NA,NA,1496
2024,4,Adam Kwok,Adam,Kwok,male,1983-04-01,41,Hong Kong,HKG,Hong Kong,HKG,Hong Kong,2200000000,Decreased,FALSE,Real Estate,['Real Estate'],NA,NA,1496
2024,4,Adam Neumann,Adam,Neumann,male,1979-04-01,45,Israel,ISR,United States,USA,Miami,2300000000,Increased,TRUE,Real Estate,['Real Estate'],NA,NA,1438
2024,4,Adi Godrej,Adi,Godrej,male,1942-04-03,81,India,IND,India,IND,Mumbai,3800000000,Increased,FALSE,Diversified,['Diversified'],NA,NA,835
2012,3,Adi Godrej & family,Adi,Godrej,male,1942-04-03,69,India,IND,India,IND,Mumbai,2400000000,Decreased,FALSE,NA,['Diversified'],NA,NA,521
2024,4,Adriaan Mol,Adriaan,Mol,male,1984-03-14,40,Netherlands,NLD,Netherlands,NLD,Amsterdam,1800000000,Remained Even,TRUE,Technology,['Technology'],NA,NA,1764
2024,4,Adrian Paval,Adrian,Paval,male,1968-09-23,55,Romania,ROU,Romania,ROU,Bacau,1400000000,Increased,TRUE,Fashion & Retail,['Fashion & Retail'],NA,NA,2152
2024,4,Aerin Lauder,Aerin,Lauder,female,1970-04-23,53,United States,USA,United States,USA,New York,2100000000,Decreased,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,1545
2017,3,Aerin Lauder Zinterhofer,Aerin,Lauder Zinterhofer,female,1970-04-23,46,United States,USA,United States,USA,New York,1600000000,Decreased,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,1290
2024,4,Agnete Kirk Thinggaard,Agnete Kirk,Thinggaard,female,1983-05-18,40,Denmark,DNK,Denmark,DNK,Billund,6500000000,Decreased,FALSE,Manufacturing,['Manufacturing'],NA,NA,424
2024,4,Agoes Projosasmito,Agoes,Projosasmito,male,1955-08-06,68,Indonesia,IDN,Indonesia,IDN,Jakarta,5900000000,NA,TRUE,Metals & Mining,['Metals & Mining'],NA,NA,498
2024,4,Agustín Coppel Luken,Agustín,Coppel Luken,male,1961-08-28,62,Mexico,MEX,Mexico,MEX,Culiacan,1600000000,NA,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,1945
2024,4,Ahmet Calik,Ahmet,Calik,male,1958-03-01,66,Turkey,TUR,Turkey,TUR,Istanbul,1500000000,Remained Even,TRUE,Diversified,['Diversified'],NA,NA,2046
2021,4,Ahmet Nazif Zorlu,Ahmet Nazif,Zorlu,male,1944-08-28,76,Turkey,TUR,Turkey,TUR,Istanbul,1100000000,Returned to List,TRUE,Diversified,['Diversified'],NA,NA,2524
2015,3,Ahsen Ozokur,Ahsen,Ozokur,female,1950-08-14,64,Turkey,TUR,Turkey,TUR,Istanbul,1700000000,Increased,FALSE,Food and Beverage,['Food and Beverage'],NA,NA,1118
2024,4,Airat Shaimiev,Airat,Shaimiev,male,1962-03-07,62,Russia,RUS,Russia,RUS,Kazan,2400000000,Increased,TRUE,Energy,['Energy'],NA,NA,1380
2020,4,Aiyawatt Srivaddhanaprabha & family,Aiyawatt,Srivaddhanaprabha,male,1985-07-26,34,Thailand,THA,Thailand,THA,Bangkok,3700000000,Decreased,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,494
2024,4,Ajay Jaisinghani,Ajay,Jaisinghani,male,1952-01-12,72,India,IND,India,IND,Mumbai,1600000000,NA,FALSE,Manufacturing,['Manufacturing'],NA,NA,1945
2018,3,Ajay Kalsi,Ajay,Kalsi,male,1961-01-01,57,India,IND,India,IND,Delhi,1200000000,Remained Even,FALSE,Energy,['Energy'],NA,NA,1867
2024,4,Ajay Parekh,Ajay,Parekh,male,1957-06-23,66,India,IND,India,IND,Mumbai,2400000000,Increased,FALSE,Manufacturing,['Manufacturing'],NA,NA,1380
2024,4,Ajay Piramal,Ajay,Piramal,male,1955-08-03,68,India,IND,India,IND,Mumbai,2800000000,Decreased,FALSE,Healthcare,['Healthcare'],NA,NA,1187
2024,4,Akio Nitori,Akio,Nitori,male,1944-03-05,80,Japan,JPN,Japan,JPN,Hokkaido,4600000000,Increased,TRUE,Fashion & Retail,['Fashion & Retail'],NA,NA,686
2024,4,Akira Mori & family,Akira,Mori,male,1936-07-12,87,Japan,JPN,Japan,JPN,Tokyo,3700000000,Increased,FALSE,Real Estate,['Real Estate'],NA,NA,871
2011,3,Alain & Gerard Wertheimer,Alain & Gerard,Wertheimer,male,NA,0,France,FRA,NA,NA,NA,6000000000,Decreased,FALSE,NA,['Fashion and Retail'],NA,NA,162
2009,3,Alain &#38; Gerard Wertheimer,NA,NA,NA,NA,0,France,FRA,n/a,NA,NA,8000000000,NA,NA,NA,['Apparel'],NA,NA,55
2024,4,Alain Bouchard,Alain,Bouchard,male,1949-02-18,75,Canada,CAN,Canada,CAN,Montreal,8000000000,Increased,TRUE,Fashion & Retail,['Fashion & Retail'],Alimentation Couche Tard Inc. Cl A,Chairman and CEO,322
2024,4,Alain Merieux & family,Alain,Merieux,male,1938-01-01,86,France,FRA,France,FRA,Lyon,6600000000,Increased,FALSE,Healthcare,['Healthcare'],NA,NA,417
2024,4,Alain Taravella,Alain,Taravella,male,1948-01-01,76,France,FRA,France,FRA,Paris,1500000000,Decreased,TRUE,Real Estate,['Real Estate'],NA,NA,2046
2024,4,Alain Wertheimer,Alain,Wertheimer,male,1948-08-28,75,France,FRA,United States,USA,New York,36800000000,Increased,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,40
2015,3,Alan Auerbach,Alan,Auerbach,male,1970-01-01,45,United States,USA,United States,USA,Los Angeles,1200000000,NA,TRUE,Medicine,['Medicine'],NA,NA,1533
2012,3,Alan Casden,Alan,Casden,male,1946-02-14,66,United States,USA,United States,USA,Beverly Hills,1200000000,Decreased,TRUE,Real Estate,['Real Estate'],Casden Properties LLC,"CEO, Chairman & Founder",1015
2024,4,Alan Gerry,Alan,Gerry,male,1928-12-25,95,United States,USA,United States,USA,Liberty,1500000000,Remained Even,TRUE,Media & Entertainment,['Media & Entertainment'],NA,NA,2046
2024,4,Alan Howard,Alan,Howard,male,1963-09-01,60,United Kingdom,GBR,Switzerland,CHE,Geneva,3900000000,Increased,TRUE,Finance & Investments,['Finance & Investments'],Brevan Howard Asset Management,Founder,809
2024,4,Alan Miller & family,Alan,Miller,male,1937-08-17,86,United States,USA,United States,USA,Lower Merion,1700000000,Increased,TRUE,Healthcare,['Healthcare'],NA,NA,1851
2017,3,Alan N. Trefler,Alan N.,Trefler,male,1956-03-10,61,United States,USA,United States,USA,Brookline,1600000000,NA,TRUE,Technology,['Technology'],NA,NA,1290
2022,4,Alan Rydge,Alan,Rydge,male,1952-06-24,69,Australia,AUS,Australia,AUS,Sydney,1000000000,Remained Even,TRUE,Media & Entertainment,['Media & Entertainment'],NA,NA,2578
2024,4,Alan Trefler,Alan,Trefler,male,1956-03-10,68,United States,USA,United States,USA,Brookline,2600000000,Increased,TRUE,Technology,['Technology'],NA,NA,1286
2024,4,Alan Wilson,Alan,Wilson,male,1940-10-28,83,Australia,AUS,Australia,AUS,Melbourne,2800000000,Increased,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,1187
2024,4,Alan Zekelman,Alan,Zekelman,male,1962-10-01,61,Canada,CAN,United States,USA,Bloomfield Hills,1700000000,Decreased,FALSE,Manufacturing,['Manufacturing'],NA,NA,1851
2024,4,Albert Avdolyan,Albert,Avdolyan,male,1970-11-08,53,Russia,RUS,Russia,RUS,Moscow,2900000000,Increased,TRUE,Energy,['Energy'],NA,NA,1143
2019,3,Albert Berner & family,Albert,Berner,male,1935-07-12,83,Germany,DEU,Germany,DEU,Kuenzelsau,1900000000,Remained Even,TRUE,Manufacturing,['Manufacturing'],NA,NA,1227
2014,3,Albert Blokker,Albert,Blokker,male,1946-01-01,68,Belgium,BEL,NA,NA,NA,1400000000,NA,FALSE,Retail,['Retail'],NA,Entrepreneur,1210
2024,4,Albert Chao & family,Albert,Chao,male,1949-07-15,74,United States,USA,United States,USA,Houston,4900000000,NA,FALSE,Manufacturing,['Manufacturing'],NA,NA,624
2018,3,Albert Frere,Albert,Frere,male,1926-02-04,92,Belgium,BEL,NA,NA,NA,6200000000,Increased,TRUE,Finance and Investments,['Finance and Investments'],NA,NA,281
2010,3,Albert Gubay,Albert,Gubay,male,1928-04-09,81,United Kingdom,GBR,United Kingdom,GBR,"Stanton, Isle of Man",1100000000,Remained Even,FALSE,NA,NA,NA,NA,880
2024,4,Albert Nahmad,Albert,Nahmad,male,1940-10-15,83,United States,USA,United States,USA,Coral Gables,1300000000,NA,TRUE,Manufacturing,['Manufacturing'],NA,Entrepreneur,2287
2024,4,Albert Shigaboutdinov,Albert,Shigaboutdinov,male,1952-11-12,71,Russia,RUS,Russia,RUS,Kazan,2200000000,Increased,TRUE,Diversified,['Diversified'],NA,NA,1496
2012,3,Albert Ueltschi,Albert,Ueltschi,male,1917-05-15,94,United States,USA,NA,NA,NA,1900000000,Decreased,TRUE,Service,['Service'],NA,NA,683
2019,3,Albert Yeung,Albert,Yeung,male,1943-03-03,76,Hong Kong,HKG,Hong Kong,HKG,Hong Kong,1300000000,Decreased,TRUE,Diversified,['Diversified'],NA,NA,1717
2014,3,Albert von Thurn und Taxis,Albert,von Thurn und Taxis,male,1983-06-24,30,Germany,DEU,Germany,DEU,Regensburg,1600000000,Increased,FALSE,Diversified,['Diversified'],NA,NA,1092
2024,4,Alberto Alcocer,Alberto,Alcocer,male,1942-12-07,81,Spain,ESP,Spain,ESP,Madrid,1300000000,Decreased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,2287
2009,3,Alberto Bailleres & family,NA,NA,NA,NA,76,Mexico,MEX,Mexico,MEX,Mexico City,5700000000,NA,NA,NA,['Metals &#38; Mining'],NA,NA,83
2021,4,Alberto Bailleres Gonzalez & family,Alberto,Bailleres Gonzalez,male,1931-08-22,89,Mexico,MEX,Mexico,MEX,Mexico City,9200000000,Increased,FALSE,Metals & Mining,['Metals & Mining'],NA,NA,255
2013,3,Alberto Benavides & family,Alberto,Benavides,male,1920-10-21,92,Peru,PER,NA,NA,NA,2000000000,NA,TRUE,Metals & Mining,['Metals & Mining'],NA,NA,736
2024,4,Alberto Bombassei,Alberto,Bombassei,male,1940-10-05,83,Italy,ITA,Italy,ITA,Bergamo,2500000000,Decreased,FALSE,Automotive,['Automotive'],NA,NA,1330
2024,4,Alberto Coppel Luken,Alberto,Coppel Luken,male,1951-12-24,72,Mexico,MEX,Mexico,MEX,Culiacan,1800000000,NA,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,1764
2024,4,Alberto Cortina,Alberto,Cortina,male,1946-01-20,78,Spain,ESP,Spain,ESP,Madrid,1400000000,Increased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,2152
2024,4,Alberto Palatchi,Alberto,Palatchi,male,1949-06-26,74,Spain,ESP,Spain,ESP,Madrid,2100000000,Increased,TRUE,Fashion & Retail,['Fashion & Retail'],NA,NA,1545
2024,4,Alberto Prada,Alberto,Prada,male,1954-02-21,70,Italy,ITA,Italy,ITA,Milan,2700000000,Increased,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,1238
2022,4,Alberto Roemmers,Alberto,Roemmers,male,1927-01-01,95,Argentina,ARG,Argentina,ARG,Buenos Aires,2400000000,Increased,FALSE,Healthcare,['Healthcare'],NA,NA,1292
2024,4,Alberto Siccardi & family,Alberto,Siccardi,male,1944-05-01,79,Switzerland,CHE,Switzerland,CHE,Lugano,2800000000,Increased,FALSE,Healthcare,['Healthcare'],NA,NA,1187
2021,4,Alceu Elias Feldmann,Alceu Elias,Feldmann,male,1949-07-01,71,Brazil,BRA,Brazil,BRA,Curitiba,5400000000,Increased,TRUE,Energy,['Energy'],NA,NA,520
2024,4,Alceu Elias Feldmann & family,Alceu Elias,Feldmann,male,1949-07-01,74,Brazil,BRA,Brazil,BRA,Curitiba,3700000000,Increased,TRUE,Energy,['Energy'],NA,NA,871
2020,4,Aldo Bensadoun,Aldo,Bensadoun,male,1939-01-01,81,Canada,CAN,Canada,CAN,Montreal,1100000000,Returned to List,TRUE,Fashion & Retail,['Fashion & Retail'],NA,NA,1851
2024,4,Alec Gores,Alec,Gores,male,1953-03-18,71,United States,USA,United States,USA,Beverly Hills,2200000000,Decreased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,1496
2022,4,Alejandro Bailleres Gual & family,Alejandro,Bailleres Gual,NA,1961-01-01,61,Mexico,MEX,Mexico,MEX,NA,6700000000,NA,FALSE,Diversified,['Diversified'],NA,NA,369
2024,4,Alejandro Baillères Gual & family,Alejandro,Baillères Gual,male,1961-01-01,63,Mexico,MEX,Mexico,MEX,Mexico City,8100000000,Increased,FALSE,Diversified,['Diversified'],NA,NA,317
2024,4,Alejandro Bulgheroni,Alejandro,Bulgheroni,male,1944-11-01,79,Argentina,ARG,Uruguay,URY,Manantiales,4900000000,Increased,FALSE,Energy,['Energy'],NA,NA,624
2024,4,Alejandro Santo Domingo,Alejandro,Santo Domingo,male,1977-02-13,47,United States,USA,United States,USA,New York,2800000000,Increased,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,1187
2013,3,Alejandro Santo Domingo Davila,Alejandro,Santo Domingo Davila,male,1977-02-13,36,Colombia,COL,United States,USA,New York,11700000000,Increased,FALSE,Food and Beverage,['Food and Beverage'],NA,NA,82
2024,4,Ales Zavoral,Ales,Zavoral,male,1976-10-24,47,Czech Republic,CZE,NA,NA,NA,2000000000,Remained Even,TRUE,Fashion & Retail,['Fashion & Retail'],NA,NA,1623
2024,4,Alessandra Garavoglia,Alessandra,Garavoglia,female,1960-02-06,64,Italy,ITA,Italy,ITA,Milan,3700000000,Increased,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,871
2024,4,Alessandro Rosano,Alessandro,Rosano,male,NA,NA,Italy,ITA,Hong Kong,HKG,NA,1400000000,NA,TRUE,Fashion & Retail,['Fashion & Retail'],NA,NA,2152
2022,4,Alex Atallah,Alex,Atallah,male,1992-03-09,30,United States,USA,United States,USA,New York,2200000000,NA,TRUE,Technology,['Technology'],OpenSea,Cofounder,1397
2024,4,Alex Beard,Alex,Beard,male,1967-08-03,56,United Kingdom,GBR,United Kingdom,GBR,London,1900000000,Decreased,TRUE,Metals & Mining,['Metals & Mining'],NA,NA,1694
2024,4,Alex Birkenstock,Alex,Birkenstock,male,1968-11-18,55,Germany,DEU,NA,NA,NA,1900000000,Increased,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,1694
2024,4,Alex Shevchenko,Alex,Shevchenko,male,1980-01-01,44,Canada,CAN,United States,USA,San Francisco,1900000000,Decreased,TRUE,Technology,['Technology'],NA,NA,1694
2024,4,Alexander Abramov,Alexander,Abramov,male,1959-02-20,65,Russia,RUS,Russia,RUS,Moscow,6400000000,Increased,TRUE,Metals & Mining,['Metals & Mining'],NA,NA,432
2020,4,Alexander Dzhaparidze,Alexander,Dzhaparidze,male,1955-07-20,64,Russia,RUS,Russia,RUS,Moscow,1200000000,Increased,TRUE,Energy,['Energy'],NA,NA,1730
2024,4,Alexander Frolov,Alexander,Frolov,male,1964-05-17,59,Russia,RUS,Russia,RUS,Moscow,2800000000,Increased,TRUE,Metals & Mining,['Metals & Mining'],NA,NA,1187
2024,4,Alexander Gerko,Alexander,Gerko,male,1979-12-03,44,United Kingdom,GBR,United Kingdom,GBR,London,10400000000,Increased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,213
2011,3,Alexander Girda,Alexander,Girda,male,1961-05-01,49,Russia,RUS,United Kingdom,GBR,London,1000000000,NA,TRUE,NA,['Fashion and Retail'],NA,NA,1140
2024,4,Alexander Karp,Alexander,Karp,male,1967-10-01,56,United States,USA,United States,USA,Palo Alto,2900000000,Increased,TRUE,Technology,['Technology'],Palantir Technologies,Cofounder and CEO,1143
2023,4,Alexander Klyachin,Alexander,Klyachin,male,1967-05-18,55,Russia,RUS,Russia,RUS,Moscow,1200000000,Returned to List,TRUE,Real Estate,['Real Estate'],NA,NA,2259
2014,3,Alexander Knaster,Alexander,Knaster,male,1959-02-19,55,United States,USA,United Kingdom,GBR,London,2100000000,Increased,TRUE,Investments,['Investments'],NA,NA,828
2024,4,Alexander Knauf,Alexander,Knauf,male,1974-05-30,49,Germany,DEU,Germany,DEU,Würzburg,1000000000,Returned to List,FALSE,Manufacturing,['Manufacturing'],NA,NA,2692
2012,3,Alexander Lebedev,Alexander,Lebedev,male,1959-12-16,52,Russia,RUS,NA,NA,NA,1100000000,Decreased,TRUE,Investments,['Investments'],NA,NA,1075
2024,4,Alexander Lutsenko & family,Alexander,Lutsenko,male,1962-04-04,61,Russia,RUS,NA,NA,Kaliningrad,2500000000,Returned to List,TRUE,Food & Beverage,['Food & Beverage'],NA,NA,1330
2019,3,Alexander Machkevich,Alexander,Machkevich,male,1954-01-01,65,Israel,ISR,Kazakhstan,KAZ,Almaty,2400000000,Increased,TRUE,Metals & Mining,['Metals & Mining'],NA,NA,962
2022,4,Alexander Mamut,Alexander,Mamut,male,1960-01-29,62,Russia,RUS,Israel,ISR,Tel Aviv,2100000000,Decreased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,1445
2024,4,Alexander Mamut & family,Alexander,Mamut,male,1960-01-29,64,Russia,RUS,Israel,ISR,Tel Aviv,1200000000,Decreased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,2410
2024,4,Alexander Mikhalskiy,Alexander,Mikhalskiy,male,1959-06-10,64,Russia,RUS,Switzerland,CHE,NA,1300000000,NA,TRUE,Fashion & Retail,['Fashion & Retail'],NA,NA,2287
2023,4,Alexander Nesis,Alexander,Nesis,male,1962-12-19,60,Russia,RUS,Russia,RUS,Moscow,2100000000,Increased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,1434
2024,4,Alexander Otto,Alexander,Otto,male,1967-07-07,56,Germany,DEU,Germany,DEU,Hamburg,8800000000,Decreased,FALSE,Real Estate,['Real Estate'],NA,NA,287
2024,4,Alexander Ponomarenko,Alexander,Ponomarenko,male,1964-10-27,59,Russia,RUS,Russia,RUS,Moscow,2000000000,Decreased,TRUE,Logistics,['Logistics'],NA,NA,1623
2014,3,Alexander Putilov,Alexander,Putilov,male,1952-04-20,61,Russia,RUS,Russia,RUS,Moscow,1200000000,Decreased,TRUE,Energy,['Energy'],NA,NA,1372
2024,4,Alexander Ramlie,Alexander,Ramlie,male,1972-12-27,51,Indonesia,IDN,Indonesia,IDN,Jakarta,2800000000,NA,TRUE,Metals & Mining,['Metals & Mining'],NA,NA,1187
2024,4,Alexander Rinke,Alexander,Rinke,male,1989-04-23,34,Germany,DEU,Germany,DEU,Munich,1100000000,NA,TRUE,Technology,['Technology'],NA,NA,2545
2020,4,Alexander Rovt,Alexander,Rovt,male,1952-07-23,67,United States,USA,United States,USA,New York,1300000000,Remained Even,TRUE,Manufacturing,['Manufacturing'],NA,NA,1613
2021,4,Alexander Samwer,Alexander,Samwer,male,1975-01-31,46,Germany,DEU,Germany,DEU,Munich,1200000000,Returned to List,TRUE,Technology,['Technology'],Rocket Internet,Entrepreneur,2378
2011,3,Alexander Shchukin,Alexander,Shchukin,male,1950-11-26,60,Russia,RUS,Russia,RUS,Novokuznetsk,1800000000,NA,TRUE,NA,['Energy'],NA,NA,692
2010,3,Alexander Shnaider,Alexander,Shnaider,male,1968-08-03,41,Canada,CAN,Canada,CAN,Toronto,1300000000,Remained Even,FALSE,NA,NA,NA,NA,773
2024,4,Alexander Sixt,Alexander,Sixt,male,1979-10-24,44,Germany,DEU,Germany,DEU,Munich,1700000000,Increased,FALSE,Automotive,['Automotive'],NA,NA,1851
2024,4,Alexander Skorobogatko,Alexander,Skorobogatko,male,1967-09-25,56,Russia,RUS,Russia,RUS,Moscow,2100000000,Decreased,TRUE,Logistics,['Logistics'],NA,NA,1545
2018,3,Alexander Spanos & family,Alexander,Spanos,male,1923-09-28,94,United States,USA,United States,USA,Stockton,2400000000,Remained Even,TRUE,Sports,['Sports'],San Diego Chargers,Owner,1020
2024,4,Alexander Svetakov,Alexander,Svetakov,male,1968-02-15,56,Russia,RUS,Russia,RUS,Moscow,2500000000,Increased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,1330
2022,4,Alexander Tedja,Alexander,Tedja,male,1945-09-22,76,Indonesia,IDN,Indonesia,IDN,Jakarta,1200000000,Decreased,TRUE,Real Estate,['Real Estate'],NA,NA,2324
2011,3,Alexander Vagin,Alexander,Vagin,male,1959-02-15,52,Russia,RUS,Russia,RUS,Mezhdurechensk,1300000000,NA,TRUE,NA,['Energy'],NA,NA,938
2019,3,Alexander Vik,Alexander,Vik,male,1955-02-19,64,Norway,NOR,Monaco,MCO,Monaco,1000000000,Remained Even,FALSE,Finance and Investments,['Finance and Investments'],NA,Investor,2057
2024,4,Alexandra Andresen,Alexandra,Andresen,female,1996-07-23,27,Norway,NOR,Norway,NOR,Oslo,1600000000,Increased,FALSE,Diversified,['Diversified'],NA,NA,1945
2024,4,Alexandra Daitch,Alexandra,Daitch,female,1963-01-01,61,United States,USA,United States,USA,Old Lyme,2000000000,Increased,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,1623
2020,4,Alexandra Schoerghuber,Alexandra,Schoerghuber,female,1958-07-24,61,Germany,DEU,Germany,DEU,Munich,3600000000,Decreased,FALSE,Real Estate,['Real Estate'],NA,NA,514
2024,4,Alexandra Schoerghuber & family,Alexandra,Schoerghuber,female,1958-07-24,65,Germany,DEU,Germany,DEU,Munich,5000000000,Remained Even,FALSE,Real Estate,['Real Estate'],NA,NA,612
2011,3,Alexandra Schorghuber,Alexandra,Schorghuber,female,1958-07-24,52,Germany,DEU,Germany,DEU,Munich,2300000000,Increased,FALSE,NA,['Real Estate'],NA,NA,512
2024,4,Alexandre Behring,Alexandre,Behring,male,1967-02-20,57,Brazil,BRA,United States,USA,Greenwich,6300000000,Increased,TRUE,Finance & Investments,['Finance & Investments'],NA,NA,453
2024,4,Alexandre Grendene Bartelle,Alexandre,Grendene Bartelle,male,1950-01-23,74,Brazil,BRA,Brazil,BRA,Porto Alegre,2600000000,Increased,TRUE,Fashion & Retail,['Fashion & Retail'],NA,NA,1286
2017,3,Alexandre Soares dos Santos & family,Alexandre,Soares dos Santos,male,1934-09-23,82,Portugal,PRT,Portugal,PRT,Lisbon,2700000000,Increased,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,745
2024,4,Alexandre Van Damme,Alexandre,Van Damme,male,1962-08-02,61,Belgium,BEL,Switzerland,CHE,Chesereux,3400000000,NA,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,949
2017,3,Alexei Ananyev,Alexei,Ananyev,male,1964-08-24,52,Russia,RUS,Russia,RUS,Moscow,1400000000,Increased,TRUE,Diversified,['Diversified'],NA,NA,1468
